"modelLoop","generation","gameteSizeGene1","fusionTargetGene1","gameteSizeGene2","fusionTargetGene2"
89,0,2.95565338051506,1,3.53822886992616,1
89,0,5.18267574292284,2.36164917063433,1.45737414129791,1
89,0,3.74272798327194,1,5.03364580826093,1
89,0,3.66235097171891,1,2.15399141624134,1
89,0,3.07987210714921,1.49092765137869,2.44001055112093,1
89,0,3.85576222250899,2.28612008957965,1,1.16179888939494
89,0,1.94937312064358,3.7331751361851,1,4.27511405008771
89,0,1.95142800811155,4.71362307663308,3.15773440538625,2.9152830385402
89,0,3.64285177416043,1,5.11514810105791,5.10478620154496
89,0,2.39276097763169,2.5892231435267,1,2.09060375011717
89,0,1.98210053808371,3.97459415009564,1,1.70462463107391
89,0,4.41244071932163,1.53328389960261,6.67150825963256,3.382469027264
89,0,1.04436077899824,1.61850912029035,1.44661019922854,3.4741763701783
89,0,1.30936786460392,4.16870915831233,1,4.04953698647498
89,0,4.5513570553563,1,6.14569558297347,5.76031229244678
89,0,1,1.20447542973635,1.01544809784419,1
89,0,1,4.79723113645551,1.72873754227059,1
89,0,1,1,4.18984789169585,5.10020718060176
89,0,2.36056995003932,3.35666854173754,3.15269831148653,1
89,0,1,4.40991518642076,3.19176493594367,2.4406418519643
89,0,2.03535406411595,2.4252133236652,1.41982583183774,3.15224859161278
89,0,3.60771331714385,6.23238039124482,1,1
89,0,3.58564288402942,2.19383616850093,2.30412550739932,4.19569504640676
89,0,2.58570687332359,4.92186387636398,3.64375334288285,1.32159186093169
89,0,1.48015064581135,4.2993340137663,1,5.00127743092829
89,0,3.31006675665156,1.67822217133818,1.82299428354164,2.04820780375979
89,0,1.68427095753835,1.62552108097313,3.54756528731376,1.00100157984462
89,0,3.70474660551617,1,2.32325147835421,1
89,0,3.5900262740932,3.01906596907774,1.82819483078888,2.4086081364473
89,0,1.44810151922206,4.44054615841093,1.24933890530758,2.36494593471353
89,0,1.49854282124111,1,1,2.33770231231346
89,0,2.72352307463758,2.74164462590925,3.2017336415002,1
89,0,1,3.52036658405228,1,1.73891382820232
89,0,1.69525798000522,1,3.34976048344804,2.73894786324091
89,0,1,4.55502916685486,1.83676990600109,6.80467951194047
89,0,3.26100407600998,3.44508773254183,4.77494508002907,4.31270962922496
89,0,1.34938471727226,1,3.61480204000502,2.32280954701458
89,0,8.40163778580921,1.98167847043227,1,1.38508781978993
89,0,1,1,4.11275325229052,1.26553380214008
89,0,2.55995185541101,1.67790118664795,2.9825878729407,5.19460253540964
89,0,2.09280219752597,5.12418897819337,2.90583749912771,2.75213682335807
89,0,1.37125053983261,1,5.69510029761703,6.28332588118184
89,0,2.7219962159545,2.61244782095534,4.22449693880571,1.3961811890016
89,0,1.13919717976494,5.69801436337307,7.53804120913284,4.08752856159948
89,0,2.57256171830533,2.11947164715002,1,1
89,0,5.53711014626514,2.89354576783786,1.73334242287342,2.95292397992869
89,0,3.93993329850095,1.19577886729865,1,1.96412149002997
89,0,3.10380440865427,3.3504346762914,3.87021095120976,4.15589228838094
89,0,2.6365329426172,4.87757785193929,1.24209239305042,2.82830349536142
89,0,4.29304202903613,3.00628230258791,3.62437883436764,2.33030230477483
89,0,1,2.32275340617732,3.87768664381909,1.4648205946007
89,0,1,1.1958849181676,1,2.02735021328186
89,0,1.81464719988215,1.53369029473328,3.83286763594719,1
89,0,2.76817388293386,5.13036835990084,2.95767489596535,5.33218034213219
