"ID","gameteSizeGene1","fusionTargetGene1","investCompetitionGene1","investParentingGene1","mpTradeoffGene1","prefGene1","traitGene1","learningGene1","gameteSizeGene2","fusionTargetGene2","investCompetitionGene2","investParentingGene2","mpTradeoffGene2","prefGene2","traitGene2","learningGene2","parentHist","meat1Hist","meat2Hist","plant1Hist","plant2Hist","reward","mID","hh","state","hhState","environment"
79,4.36473715742653,2.43703022438873,0,0.721899081438597,0,0.693707411257682,0.710744912756718,1,4.36473715742653,2.43703022438873,0.431882014635696,0.531910905274423,0.169547545611525,0.660101618249893,0.64845172075883,1,1429,789,49,186,47,2291.16666666667,101,79,"successful",1,2
80,4.36473715742653,2.43703022438873,0,0.521591777784111,0,0.664961635668148,0.615732897269324,1,1,7.05834530932461,0.766660122047315,0.245997169993425,0,0.758712815301764,0.652369811220536,1,1148,1104,60,154,34,1626.69444444444,485,80,"successful",1,2
81,4.36473715742653,2.43703022438873,0.224103991041407,0.826332982186902,0.0503038666607047,0.743772022439506,0.717578314911261,1,4.36473715742653,2.43703022438873,0.340281331747566,0.413725281917331,0.0398883741999283,0.773333374595103,0.680683278616478,1,807,819,50,770,54,1836.63888888889,404,81,"successful",1,2
82,1,7.05834530932461,1,0.749479357736618,0.0116311079059558,0.560367974877378,0.678938867348102,1,1,7.05834530932461,0.686272840440464,0.745895570590813,0.0469317786235745,0.813705505499186,0.593379987239915,1,1315,348,62,730,45,2236.94444444445,212,82,"parenting",3,2
83,1,7.05834530932461,0.910169253174893,0.3487860731696,0.217838725971777,0.645401694302461,0.709503286859621,1,1,7.05834530932461,0.653119477670181,0.709518571739142,0.0563389264146453,0.603270106622701,0.647478909915654,1,809,805,53,783,50,2305.63888888889,166,83,"successful",3,2
84,1,7.05834530932461,0.986087899382729,0.916135442818228,0.00562825592978504,0.753378554847672,0.829476140457849,1,1,7.05834530932461,0.852948071852147,0.713583441854763,0.0427878053233159,0.754516239219957,0.699151843741721,1,802,221,410,747,320,1473.02777777779,238,84,"successful",1,2
85,4.36473715742653,2.43703022438873,0,0.729015171391847,0,0.693309675886744,0.680095573652686,1,1,7.05834530932461,0.640154935633327,0.721211228820437,0.0236582191338867,0.761790007035623,0.697600784328401,1,765,331,303,1055,46,2077.08333333333,133,85,"parenting",2,2
86,1,7.05834530932461,0.891144423755451,0.446236275444376,0.0890816611450557,0.727100010696043,0.724471516474871,1,4.36473715742653,2.43703022438873,0.303811534095921,0.822597200474119,0,0.786213697497735,0.70228295456612,1,1087,567,46,742,58,2067.63888888889,449,86,"successful",1,2
87,4.36473715742653,2.43703022438873,0.18420939822422,0.861482718258877,0.0646900337083707,0.838415784506034,0.641462641821431,1,1,7.05834530932461,0.921182307767378,0.428779258081836,0.110310598238626,0.730588688545142,0.717806818374438,1,1024,334,38,1070,34,2350.41666666667,467,87,"parenting",3,2
88,4.36473715742653,2.43703022438873,0.420018597614315,0.7180311927685,0,0.648656197849079,0.702561756029509,1,1,7.05834530932461,0.607390494407482,0.491071503165189,0.11752421204574,0.75355327623316,0.607025451610676,1,963,1001,55,437,44,2207.13888888889,387,88,"successful",2,2
89,4.42886595523644,2.46132167936904,0.206213569634077,0.708250893929554,0.125305132683414,0.432500504149027,0.704113276645205,1,1,7.05834530932461,1,0.817426551960882,0.112796733605357,0.758192617553257,0.698540203379141,1,1119,919,62,332,68,1904.5,402,89,"successful",1,2
90,4.36473715742653,2.43703022438873,0.350591968409803,0.727860880508427,0.0578579195620468,0.641936032619393,0.594943489053656,1,1,7.05834530932461,0.948819150690564,0.520350620746741,0.182517786992218,0.571030226302806,0.675213692246305,1,1422,189,50,796,43,2338.63888888889,328,90,"parenting",3,2
91,1,7.05834530932461,0.991069808360626,0.904505481870145,0,0.667519213076936,0.727211732318087,1,4.36473715742653,2.43703022438873,0.107568737706342,0.793121365082075,0,0.872022295089111,0.600842269695099,1,941,771,48,682,58,1945.86111111111,242,91,"successful",1,2
